 1.187e+10  5.918e+09  5.718e+09  6.384e+07  1.814e+08  1.278e+08
 5.918e+09  1.243e+10  5.862e+09  2.176e+08 -1.660e+07 -5.435e+07
 5.718e+09  5.862e+09  1.106e+10 -1.270e+08  1.824e+08 -9.417e+07
 6.384e+07  2.176e+08 -1.270e+08  2.984e+09 -6.530e+07  8.059e+07
 1.814e+08 -1.660e+07  1.824e+08 -6.530e+07  3.175e+09  1.726e+06
 1.278e+08 -5.435e+07 -9.417e+07  8.059e+07  1.726e+06  2.959e+09
