 4.433e+10  4.853e+08  4.772e+08  8.095e+07  3.440e+05  1.601e+08
 4.853e+08  4.405e+10  3.974e+08  5.574e+07 -5.733e+07 -4.303e+07
 4.772e+08  3.974e+08  4.463e+10 -3.053e+07 -1.028e+08  2.420e+08
 8.095e+07  5.574e+07 -3.053e+07  2.187e+10  1.165e+08 -3.897e+07
 3.440e+05 -5.733e+07 -1.028e+08  1.165e+08  2.193e+10  1.368e+07
 1.601e+08 -4.303e+07  2.420e+08 -3.897e+07  1.368e+07  2.204e+10
