 2.759e+10  1.124e+09  1.164e+09  4.771e+08 -5.501e+07  3.220e+06
 1.124e+09  3.052e+10  1.251e+09  6.740e+08 -4.279e+08 -2.077e+08
 1.164e+09  1.251e+09  2.900e+10 -9.606e+07 -3.760e+07  5.458e+07
 4.771e+08  6.740e+08 -9.606e+07  1.416e+10  7.236e+07 -1.004e+08
-5.501e+07 -4.279e+08 -3.760e+07  7.236e+07  1.434e+10  2.376e+08
 3.220e+06 -2.077e+08  5.458e+07 -1.004e+08  2.376e+08  1.384e+10
