 6.585e+10  3.912e+08  3.907e+08 -1.669e+08 -2.741e+06 -1.060e+06
 3.912e+08  6.661e+10  4.003e+08 -1.130e+08  4.919e+07  8.899e+06
 3.907e+08  4.003e+08  6.645e+10  2.544e+07  1.699e+08 -4.505e+07
-1.669e+08 -1.130e+08  2.544e+07  3.292e+10 -1.556e+07  5.411e+07
-2.741e+06  4.919e+07  1.699e+08 -1.556e+07  3.301e+10 -7.077e+07
-1.060e+06  8.899e+06 -4.505e+07  5.411e+07 -7.077e+07  3.287e+10
