 6.247e+10  3.717e+08  3.922e+08 -2.544e+08 -5.201e+06 -2.777e+07
 3.717e+08  6.250e+10  4.037e+08 -2.537e+08  1.887e+07  7.060e+05
 3.922e+08  4.037e+08  6.265e+10  1.984e+07  1.731e+07 -4.375e+07
-2.544e+08 -2.537e+08  1.984e+07  3.101e+10 -1.883e+07  1.785e+07
-5.201e+06  1.887e+07  1.731e+07 -1.883e+07  3.111e+10 -1.393e+08
-2.777e+07  7.060e+05 -4.375e+07  1.785e+07 -1.393e+08  3.110e+10
