  -2.660000e-03  -9.025000e+06  -7.840800e-02  -7.840800e-02
  -2.695000e-03  -8.598700e+06  -7.094600e-02  -7.094600e-02
  -2.730000e-03  -8.195300e+06  -6.735600e-02  -6.735600e-02
  -2.765000e-03  -7.813500e+06  -6.101600e-02  -6.101600e-02
  -2.800000e-03  -7.451600e+06  -5.530200e-02  -5.530200e-02
  -2.835000e-03  -7.108600e+06  -5.014700e-02  -5.014700e-02
  -2.870000e-03  -6.783100e+06  -4.549200e-02  -4.549200e-02
  -2.905000e-03  -6.474200e+06  -4.128600e-02  -4.128600e-02
  -2.940000e-03  -6.180800e+06  -3.748400e-02  -3.748400e-02
  -2.975000e-03  -5.902000e+06  -3.570200e-02  -3.570200e-02
  -3.010000e-03  -5.637000e+06  -3.243700e-02  -3.243700e-02
  -3.045000e-03  -5.384900e+06  -2.947900e-02  -2.947900e-02
  -3.080000e-03  -5.145000e+06  -2.680000e-02  -2.680000e-02
  -3.115000e-03  -4.916700e+06  -2.437000e-02  -2.437000e-02
  -3.150000e-03  -4.699300e+06  -2.216700e-02  -2.216700e-02
  -3.185000e-03  -4.492200e+06  -2.016700e-02  -2.016700e-02
  -3.220000e-03  -4.294800e+06  -1.924800e-02  -1.924800e-02
  -3.255000e-03  -4.106800e+06  -1.752000e-02  -1.752000e-02
  -3.290000e-03  -3.927400e+06  -1.595000e-02  -1.595000e-02
  -3.325000e-03  -3.756400e+06  -1.452400e-02  -1.452400e-02
  -3.360000e-03  -3.593200e+06  -1.322800e-02  -1.322800e-02
  -3.395000e-03  -3.437600e+06  -1.205000e-02  -1.205000e-02
  -3.430000e-03  -3.289000e+06  -1.097800e-02  -1.097800e-02
  -3.465000e-03  -3.147200e+06  -1.000300e-02  -1.000300e-02
  -3.500000e-03  -3.011700e+06  -9.116400e-03  -9.116400e-03
  -3.535000e-03  -2.882400e+06  -8.715100e-03  -8.715100e-03
  -3.570000e-03  -2.758900e+06  -7.944800e-03  -7.944800e-03
  -3.605000e-03  -2.640800e+06  -7.243400e-03  -7.243400e-03
  -3.640000e-03  -2.528100e+06  -6.604700e-03  -6.604700e-03
  -3.675000e-03  -2.420300e+06  -6.023100e-03  -6.023100e-03
  -3.710000e-03  -2.317300e+06  -5.493200e-03  -5.493200e-03
