 1.336e+10  5.754e+09  5.559e+09  4.722e+07  1.556e+08  1.446e+08
 5.754e+09  1.384e+10  5.741e+09  1.753e+08 -1.436e+07 -5.319e+07
 5.559e+09  5.741e+09  1.245e+10 -1.241e+08  1.671e+08 -9.233e+07
 4.722e+07  1.753e+08 -1.241e+08  3.837e+09 -4.665e+07  7.321e+07
 1.556e+08 -1.436e+07  1.671e+08 -4.665e+07  4.025e+09  2.357e+07
 1.446e+08 -5.319e+07 -9.233e+07  7.321e+07  2.357e+07  3.790e+09
