 6.791e+10  4.807e+08  3.475e+08 -2.260e+08  1.017e+07 -1.031e+07
 4.807e+08  6.753e+10  4.420e+08 -5.406e+08 -9.848e+08  1.048e+08
 3.475e+08  4.420e+08  6.552e+10 -2.067e+07 -8.940e+08 -1.485e+07
-2.260e+08 -5.406e+08 -2.067e+07  3.369e+10  1.725e+07 -4.097e+08
 1.017e+07 -9.848e+08 -8.940e+08  1.725e+07  3.310e+10 -1.704e+08
-1.031e+07  1.048e+08 -1.485e+07 -4.097e+08 -1.704e+08  3.307e+10
