 1.515e+10  5.390e+09  5.207e+09  4.693e+07  1.298e+08  1.431e+08
 5.390e+09  1.559e+10  5.402e+09  1.483e+08 -6.182e+05 -5.473e+07
 5.207e+09  5.402e+09  1.420e+10 -1.073e+08  1.609e+08 -8.125e+07
 4.693e+07  1.483e+08 -1.073e+08  4.944e+09 -4.390e+07  7.361e+07
 1.298e+08 -6.182e+05  1.609e+08 -4.390e+07  5.101e+09  4.221e+07
 1.431e+08 -5.473e+07 -8.125e+07  7.361e+07  4.221e+07  4.857e+09
