 2.870e+11 -1.107e+11 -1.111e+11 -9.340e+08 -3.987e+08  8.005e+08
-1.107e+11  2.902e+11 -1.134e+11 -7.610e+08 -4.143e+08 -1.845e+09
-1.111e+11 -1.134e+11  2.896e+11  1.118e+09  9.649e+08  1.565e+09
-9.340e+08 -7.610e+08  1.118e+09  2.019e+11 -2.686e+08 -2.592e+08
-3.987e+08 -4.143e+08  9.649e+08 -2.686e+08  1.994e+11 -2.196e+08
 8.005e+08 -1.845e+09  1.565e+09 -2.592e+08 -2.196e+08  1.989e+11
