 1.223e+10  5.893e+09  5.694e+09  5.889e+07  1.749e+08  1.344e+08
 5.893e+09  1.278e+10  5.852e+09  2.053e+08 -1.815e+07 -5.397e+07
 5.694e+09  5.852e+09  1.140e+10 -1.282e+08  1.776e+08 -9.605e+07
 5.889e+07  2.053e+08 -1.282e+08  3.187e+09 -5.821e+07  7.772e+07
 1.749e+08 -1.815e+07  1.776e+08 -5.821e+07  3.380e+09  7.742e+06
 1.344e+08 -5.397e+07 -9.605e+07  7.772e+07  7.742e+06  3.157e+09
