 2.709e+11  6.618e+08  7.862e+08  1.376e+09  1.564e+08  9.962e+08
 6.618e+08  2.690e+11  6.173e+08  1.400e+09 -8.974e+08 -4.066e+07
 7.862e+08  6.173e+08  2.680e+11 -1.070e+08 -7.303e+08  8.501e+08
 1.376e+09  1.400e+09 -1.070e+08  1.345e+11  3.549e+08 -2.843e+08
 1.564e+08 -8.974e+08 -7.303e+08  3.549e+08  1.338e+11  6.585e+08
 9.962e+08 -4.066e+07  8.501e+08 -2.843e+08  6.585e+08  1.344e+11
