 1.767e+11  4.891e+10  5.006e+10  4.921e+08 -6.073e+08  5.006e+08
 4.891e+10  1.799e+11  4.958e+10 -1.325e+09 -3.378e+08 -3.369e+08
 5.006e+10  4.958e+10  1.800e+11 -6.151e+08 -2.407e+09 -3.694e+08
 4.921e+08 -1.325e+09 -6.151e+08  6.246e+10 -2.977e+08 -6.954e+08
-6.073e+08 -3.378e+08 -2.407e+09 -2.977e+08  6.325e+10 -6.449e+08
 5.006e+08 -3.369e+08 -3.694e+08 -6.954e+08 -6.449e+08  6.374e+10
