# eps		i		sigma		t
0.000218126422139	2200	730179.348188	0.000545316055146
0.000208211584769	2100	788238.75089	0.00052052896173
0.000198296747399	2000	856494.245151	0.000495741868315
0.000188381910029	1900	925355.3562	0.000470954774899
0.000178467072659	1800	1001370.70488	0.000446167681483
0.000168552235289	1700	1128251.00208	0.000421380588067
0.000158637397919	1600	1210132.68706	0.000396593494652
0.000148722560549	1500	1391119.08026	0.000371806401236
0.000138807723179	1400	1423663.0176	0.00034701930782
0.000128892885809	1300	1860284.27126	0.000322232214404
0.00011897804844	1200	1662929.36229	0.000297445120989
0.00010906321107	1100	3030317.60623	0.000272658027573
9.91483736996e-05	1000	3899616.98259	0.000247870934157
8.92335363296e-05	900	3837803.02137	0.000223083840742
7.93186989596e-05	800	3645093.03464	0.000198296747326
6.94038615898e-05	700	3399480.0193	0.00017350965391
5.94890242198e-05	600	3080606.99373	0.000148722560494
4.95741868498e-05	500	2663700.00392	0.000123935467079
3.96593494798e-05	400	2160451.77982	9.91483736629e-05
2.97445121098e-05	300	1617143.65118	7.43612802472e-05
1.982967474e-05	200	1075731.2738	4.95741868315e-05
9.91483737001e-06	100	542227.829354	2.47870934157e-05
0.0	0	0.0	0.0
0.0	0	0.0	0.0
-7.43612802527e-05	100	-4066559.41262	2.47870934157e-05
-0.000148722560505	200	-8064038.26005	4.95741868315e-05
-0.000223083840758	300	-12054157.1465	7.43612802472e-05
-0.000297445121011	400	-15871205.8274	9.91483736629e-05
-0.000371806401264	500	-19388330.473	0.000123935467079
-0.000446167681516	600	-22572961.2056	0.000148722560494
-0.000520528961769	700	-25481619.272	0.00017350965391
-0.000594890242022	800	-28173231.4576	0.000198296747326
-0.000669251522274	900	-30604291.2249	0.000223083840742
-0.000743612802527	1000	-32799174.3766	0.000247870934157
-0.00081797408278	1100	-34720381.2961	0.000272658027573
-0.000892335363033	1200	-36376941.9033	0.000297445120989
-0.000966696643285	1300	-37618377.7623	0.000322232214404
-0.00104105792354	1400	-38437615.8573	0.00034701930782
-0.00111541920379	1500	-38835999.2253	0.000371806401236
-0.00118978048404	1600	-38626445.4963	0.000396593494652
-0.0012641417643	1700	-37561155.8959	0.000421380588067
-0.00133850304455	1800	-35736046.2224	0.000446167681483
-0.0014128643248	1900	-33258779.1152	0.000470954774899
-0.00148722560505	2000	-30400386.9682	0.000495741868315
-0.00156158688531	2100	-27493532.6866	0.00052052896173
-0.00163594816556	2200	-24387435.8724	0.000545316055146
