 2.806e+10  8.143e+09  8.120e+09  1.856e+08 -6.034e+07 -1.651e+08
 8.143e+09  2.891e+10  8.599e+09  7.686e+07  8.425e+07 -2.090e+07
 8.120e+09  8.599e+09  2.811e+10 -1.432e+08 -3.460e+08  2.175e+08
 1.856e+08  7.686e+07 -1.432e+08  9.878e+09 -2.389e+07 -9.424e+07
-6.034e+07  8.425e+07 -3.460e+08 -2.389e+07  1.032e+10 -4.026e+07
-1.651e+08 -2.090e+07  2.175e+08 -9.424e+07 -4.026e+07  9.845e+09
