# angle numIntrs
0.0490873852123 635
0.147262155637 631
0.245436926062 662
0.343611696486 706
0.441786466911 599
0.539961237336 678
0.63813600776 576
0.736310778185 619
0.83448554861 662
0.932660319034 642
1.03083508946 629
1.12900985988 622
1.22718463031 669
1.32535940073 681
1.42353417116 605
1.52170894158 627
1.61988371201 630
1.71805848243 636
1.81623325286 591
1.91440802328 615
2.01258279371 634
2.11075756413 601
2.20893233456 626
2.30710710498 662
2.4052818754 677
2.50345664583 636
2.60163141625 633
2.69980618668 595
2.7979809571 577
2.89615572753 593
2.99433049795 627
3.09250526838 662

# avgNumIntrs
0.0 632.4375
0.0490873852123 632.4375
0.0981747704247 632.4375
0.147262155637 632.4375
0.196349540849 632.4375
0.245436926062 632.4375
0.294524311274 632.4375
0.343611696486 632.4375
0.392699081699 632.4375
0.441786466911 632.4375
0.490873852123 632.4375
0.539961237336 632.4375
0.589048622548 632.4375
0.63813600776 632.4375
0.687223392973 632.4375
0.736310778185 632.4375
0.785398163397 632.4375
0.83448554861 632.4375
0.883572933822 632.4375
0.932660319034 632.4375
0.981747704247 632.4375
1.03083508946 632.4375
1.07992247467 632.4375
1.12900985988 632.4375
1.1780972451 632.4375
1.22718463031 632.4375
1.27627201552 632.4375
1.32535940073 632.4375
1.37444678595 632.4375
1.42353417116 632.4375
1.47262155637 632.4375
1.52170894158 632.4375
1.57079632679 632.4375
1.61988371201 632.4375
1.66897109722 632.4375
1.71805848243 632.4375
1.76714586764 632.4375
1.81623325286 632.4375
1.86532063807 632.4375
1.91440802328 632.4375
1.96349540849 632.4375
2.01258279371 632.4375
2.06167017892 632.4375
2.11075756413 632.4375
2.15984494934 632.4375
2.20893233456 632.4375
2.25801971977 632.4375
2.30710710498 632.4375
2.35619449019 632.4375
2.4052818754 632.4375
2.45436926062 632.4375
2.50345664583 632.4375
2.55254403104 632.4375
2.60163141625 632.4375
2.65071880147 632.4375
2.69980618668 632.4375
2.74889357189 632.4375
2.7979809571 632.4375
2.84706834232 632.4375
2.89615572753 632.4375
2.94524311274 632.4375
2.99433049795 632.4375
3.04341788317 632.4375
3.09250526838 632.4375
3.14159265359 632.4375
