# maxAggreg e ft fc gf erel ftrel fcrel gfrel
95 28.1 3.38 38.2 107.3 1.0 1.0 1.0 1.0
125 31.0 3.27 44.9 118.7 1.10320284698 0.967455621302 1.17539267016 1.10624417521
190 32.3 3.16 48.0 144.2 1.14946619217 0.934911242604 1.25654450262 1.34389561976
